Wavelength(nm),Baseline,Boro125,Boro25,Boro5,Malico125,Malico25,Malico5,Tarta125,Tarta25,Tarta5
296.5,0.126775889,0.998106847,0.972801036,0.272442724,0.71519108,1.132256484,0.956803662,1.242007552,1.181268587,2.12252441
297,0.126713855,0.995874254,0.970785435,0.27244311,0.713330403,1.130196098,0.957422941,1.237988602,1.177161171,2.116607576
297.5,0.126628523,0.993730735,0.968759585,0.272425664,0.711710735,1.128252218,0.958476271,1.234723993,1.174119388,2.111641204
298,0.126600388,0.99144914,0.967223757,0.272479048,0.709796952,1.125775761,0.960369952,1.230409479,1.171005844,2.100918023
298.5,0.126626189,0.988033692,0.964803804,0.272397537,0.707823542,1.124431487,0.960860528,1.226268083,1.166708355,2.099351025
299,0.126549313,0.985024693,0.962481074,0.272136545,0.705845407,1.12297789,0.96161225,1.223175275,1.162426086,2.089315441
299.5,0.12656602,0.981542209,0.960727355,0.272063563,0.703824151,1.120802857,0.962607584,1.219446954,1.159236793,2.077991119
300,0.126585703,0.978069707,0.959009103,0.272107745,0.701864575,1.118658382,0.963318083,1.215299374,1.156599343,2.070422843
300.5,0.12650576,0.975043272,0.956845621,0.27210377,0.700031653,1.117139856,0.963407719,1.211295415,1.153373232,2.067863931
301,0.126531702,0.970927847,0.955310773,0.272019422,0.698032029,1.114340781,0.964044416,1.20713893,1.147710607,2.05688319
301.5,0.126539502,0.967104126,0.953788285,0.271871654,0.695849524,1.111704896,0.964651729,1.204158997,1.14336597,2.054372245
302,0.126518207,0.962628277,0.95155028,0.271820186,0.693964687,1.110110316,0.96556182,1.200764363,1.140324013,2.047164411
302.5,0.126523359,0.957715921,0.949186128,0.27187184,0.691968262,1.108528163,0.966605758,1.196943623,1.137348611,2.03676627
303,0.126577338,0.952861179,0.947226488,0.271969833,0.689665803,1.10590463,0.967506952,1.193005141,1.133515961,2.027891003
303.5,0.126561071,0.948725347,0.945234472,0.271956808,0.688058062,1.102178049,0.967944332,1.189308719,1.129618405,2.02674387
304,0.126658439,0.94388343,0.943235507,0.271886529,0.686499684,1.099804636,0.968328174,1.184467559,1.126031865,2.009940583
304.5,0.126640469,0.938768156,0.94104235,0.271769878,0.684575192,1.099251612,0.968316142,1.180466146,1.122427432,2.003336009
305,0.1265699,0.933867775,0.939029119,0.271798037,0.682605719,1.09864709,0.968743835,1.177511908,1.118862583,1.998853176
305.5,0.126534661,0.929227328,0.937210322,0.271962616,0.680804935,1.096535088,0.969727756,1.175066216,1.115373106,1.98966927
306,0.126600983,0.923901106,0.93466046,0.271772839,0.678954263,1.092937962,0.969504563,1.171469292,1.111850782,1.980647487
306.5,0.126708015,0.918629378,0.933474769,0.271600637,0.677059204,1.090644147,0.969062398,1.167780829,1.108328426,1.978981227
307,0.126699255,0.912989527,0.931440399,0.271679971,0.675512649,1.088365246,0.969869005,1.165115463,1.10466445,1.972525991
307.5,0.126689028,0.90745186,0.929261684,0.271773724,0.673883505,1.086755027,0.970413121,1.162250068,1.101007408,1.96370942
308,0.126713024,0.902169107,0.927512843,0.27176194,0.672122127,1.085600392,0.970160058,1.158899039,1.097667196,1.954782623
308.5,0.126654684,0.89670674,0.926252251,0.271758607,0.670861772,1.083152848,0.970407963,1.156486613,1.095181122,1.946063897
309,0.126825853,0.891949172,0.924574657,0.271494591,0.669184449,1.080305345,0.970365739,1.15249024,1.090985845,1.944206582
309.5,0.126784336,0.886778203,0.923052076,0.271582198,0.667522724,1.078533457,0.970442262,1.148583271,1.088053197,1.937247727
310,0.126810697,0.881510621,0.921376148,0.271543409,0.665780768,1.076470732,0.970385648,1.145620251,1.085361171,1.928250915
